file_preffix,edit_costs,relaxed_compression,ged_method,b_ni,b_na,b_ei,b_ea,graph_sample_size,cost_arborescence,k_complexity_a,k_complexity_b,gedlib_runtime_initial,spanning_arb_runtime,num_nodes,num_leafs,avg_degree,min_degree,max_degree,root_degree,avg_depth,max_depth,,,,,
mao,modified,false,branch_uniform,1,1,1,1,20,938,14030,5323,0.284426,0.003968,69,25,1.545455,1,4,1,15.42029,29,,,,,
mao,modified,false,branch_uniform,1,1,1,1,20,967,14030,5323,0.277542,0.002692,69,24,1.511111,1,4,1,8.217391,15,,,,,
mao,modified,false,branch_uniform,1,1,1,1,20,945,14030,5323,0.277299,0.003045,69,23,1.478261,1,3,1,10.927536,21,,,,,
mao,modified,false,branch_uniform,1,1,1,1,20,947,14030,5323,0.282639,0.003114,69,25,1.545455,1,3,1,10.681159,17,,,,,
mao,traditional,true,branch_uniform,1,1,1,1,27,1047,14030,5323,0.36808,0.003597,69,24,1.511111,1,4,1,10.942029,22,,,,,
mao,traditional,true,branch_uniform,1,1,1,1,27,1058,14030,5323,0.363379,0.00266,69,26,1.581395,1,4,1,11.289855,18,,,,,
mao,traditional,true,branch_uniform,1,1,1,1,27,1080,14030,5323,0.362947,0.002572,69,25,1.545455,1,4,1,8.536232,14,,,,,
mao,traditional,true,branch_uniform,1,1,1,1,27,1049,14030,5323,0.35875,0.002665,69,26,1.581395,1,3,1,13.768116,25,,,,,
mao,traditional,true,branch_uniform,1,1,1,1,27,1081,14030,5323,0.387159,0.002677,69,24,1.511111,1,4,1,11.434783,18,,,,,
mao,modified,false,branch_uniform,1,1,1,1,27,886,14030,5323,0.469482,0.002933,69,25,1.545455,1,4,1,11.84058,20,,,,,
mao,modified,false,branch_uniform,1,1,1,1,27,877,14030,5323,0.364501,0.002877,69,26,1.581395,1,4,1,10.666667,17,,,,,
mao,modified,false,branch_uniform,1,1,1,1,27,945,14030,5323,0.361626,0.002974,69,24,1.511111,1,4,1,10.73913,21,,,,,
mao,modified,false,branch_uniform,1,1,1,1,27,943,14030,5323,0.354973,0.002761,69,24,1.511111,1,3,1,10.463768,16,,,,,
